Date,Instrument,holding_value,signed_weight,primary_group
2021-01-04,ORCL.N,0.05361196782580833,0.05361783802279992,cloud_software
2021-01-04,SPY.P,-0.5711042573935333,-0.5711667899702992,market_hedge
2021-01-04,AMD.OQ,0.05361196782580833,0.05361783802279992,gpu_accelerator
2021-01-04,NVDA.OQ,0.05361196782580833,0.05361783802279992,gpu_accelerator
2021-01-04,GOOG.OQ,0.05361196782580833,0.05361783802279992,cloud_software
2021-01-04,TER.OQ,0.05361196782580833,0.05361783802279992,robotics_autonomy
2021-01-04,CSCO.OQ,0.05361196782580833,0.05361783802279992,server_network
2021-01-04,NTAP.OQ,0.05361196782580833,0.05361783802279992,memory_hbm_storage
2021-01-04,TSLA.OQ,0.05361196782580833,0.05361783802279992,robotics_autonomy
2021-01-05,ORCL.N,0.0529475999107768,0.05300817382658842,cloud_software
2021-01-05,SPY.P,-0.5750376742807822,-0.5756955375971382,market_hedge
2021-01-05,AMD.OQ,0.053884964845095314,0.05394661113934735,gpu_accelerator
2021-01-05,NVDA.OQ,0.05480268621747748,0.05486538241724445,gpu_accelerator
2021-01-05,GOOG.OQ,0.054005315828420206,0.05406709980842842,cloud_software
2021-01-05,TER.OQ,0.05464651372732489,0.054709031260272475,robotics_autonomy
2021-01-05,CSCO.OQ,0.05363635907597344,0.0536977209564852,server_network
2021-01-05,NTAP.OQ,0.05386820757335414,0.05392983469669816,memory_hbm_storage
2021-01-05,TSLA.OQ,0.054004266643496536,0.05406604942320031,robotics_autonomy
2021-01-06,ORCL.N,0.052821454104137355,0.053194914677386705,cloud_software
2021-01-06,SPY.P,-0.5784755425834096,-0.5825655058645797,market_hedge
2021-01-06,AMD.OQ,0.052467703723787916,0.05283866319550432,gpu_accelerator
2021-01-06,NVDA.OQ,0.05157190438394077,0.05193653033567652,gpu_accelerator
2021-01-06,GOOG.OQ,0.053830666833568165,0.05421126278714462,cloud_software
2021-01-06,TER.OQ,0.05506033208789989,0.05544962207496286,robotics_autonomy
2021-01-06,CSCO.OQ,0.054148575329111735,0.05453141897334723,server_network
2021-01-06,NTAP.OQ,0.05391780236317599,0.054299014386214935,memory_hbm_storage
2021-01-06,TSLA.OQ,0.05553746445720551,0.0559301278865786,robotics_autonomy
2021-01-07,ORCL.N,0.053243552986223935,0.05318609417814752,cloud_software
2021-01-07,SPY.P,-0.5870702133405518,-0.5864366651863848,market_hedge
2021-01-07,AMD.OQ,0.05527318373030008,0.055213534607024,gpu_accelerator
2021-01-07,NVDA.OQ,0.05455432178044105,0.054495448430915853,gpu_accelerator
2021-01-07,GOOG.OQ,0.05544252505247015,0.055382693181237105,cloud_software
2021-01-07,TER.OQ,0.05843385133188334,0.058370791313148054,robotics_autonomy
2021-01-07,CSCO.OQ,0.05483153033328367,0.054772357828797136,server_network
2021-01-07,NTAP.OQ,0.054322826480250726,0.054264202953347766,memory_hbm_storage
2021-01-07,TSLA.OQ,0.05994972419331343,0.05988502829111568,robotics_autonomy
2021-01-08,ORCL.N,0.05350525429313716,0.053312828469069415,cloud_software
2021-01-08,SPY.P,-0.5904151662838767,-0.5882918023934476,market_hedge
2021-01-08,AMD.OQ,0.05493629379164814,0.05473872138976458,gpu_accelerator
2021-01-08,NVDA.OQ,0.05427938337071164,0.054084173475665166,gpu_accelerator
2021-01-08,GOOG.OQ,0.0560617069240954,0.05586008709636014,cloud_software
2021-01-08,TER.OQ,0.059441409079420866,0.05922763452069827,robotics_autonomy
2021-01-08,CSCO.OQ,0.054953486584010905,0.05475585235012071,server_network
2021-01-08,NTAP.OQ,0.054098007915744616,0.053903450317782764,memory_hbm_storage
2021-01-08,TSLA.OQ,0.06464996358586342,0.0644174570277074,robotics_autonomy
2021-01-11,ORCL.N,0.05320978507565288,0.05288652560576884,cloud_software
2021-01-11,SPY.P,-0.5864352917167576,-0.5828725868260665,market_hedge
2021-01-11,AMD.OQ,0.05648714919895082,0.056143979124511474,gpu_accelerator
2021-01-11,NVDA.OQ,0.05568882599912336,0.055350505888539445,gpu_accelerator
2021-01-11,GOOG.OQ,0.05480566113343698,0.05447270641581408,cloud_software
2021-01-11,TER.OQ,0.06103820818822172,0.06066738957293239,robotics_autonomy
2021-01-11,CSCO.OQ,0.05531935533624302,0.05498327982955011,server_network
2021-01-11,NTAP.OQ,0.05430617325328162,0.05397625301864193,memory_hbm_storage
2021-01-11,TSLA.OQ,0.05959342283268244,0.059231381560648,robotics_autonomy
2021-01-12,ORCL.N,0.05269482443950368,0.05228022415883067,cloud_software
2021-01-12,SPY.P,-0.5865591788626978,-0.5819441601625788,market_hedge
2021-01-12,AMD.OQ,0.05538644845103666,0.05495067060534626,gpu_accelerator
2021-01-12,NVDA.OQ,0.055129750496782995,0.05469599233794067,gpu_accelerator
2021-01-12,GOOG.OQ,0.05417996482328527,0.05375367953129467,cloud_software
2021-01-12,TER.OQ,0.06166343375477761,0.06117826889819207,robotics_autonomy
2021-01-12,CSCO.OQ,0.05584376721442768,0.05540439120725414,server_network
2021-01-12,NTAP.OQ,0.055088874922368865,0.05465543837053073,memory_hbm_storage
2021-01-12,TSLA.OQ,0.06240342840887782,0.06191244131083783,robotics_autonomy
2021-01-13,ORCL.N,0.052390913244417116,0.05223597706313728,cloud_software
2021-01-13,SPY.P,-0.5881387399747303,-0.586399431289476,market_hedge
2021-01-13,AMD.OQ,0.053309928570474265,0.05315227457581155,gpu_accelerator
2021-01-13,NVDA.OQ,0.05532190076086263,0.05515829674035162,gpu_accelerator
